id,label
0,Genre
1,Genre
2,Genre
3,Genre
4,Genre
5,Genre
6,Genre
7,Genre
8,Genre
9,Genre
10,Genre
11,Genre
12,Genre
13,Genre
14,Genre
15,Genre
16,Genre
17,Genre
18,Genre
19,Genre
20,Genre
22,SubGenre
23,SubGenre
24,SubGenre
25,SubGenre
26,SubGenre
27,SubGenre
28,SubGenre
29,SubGenre
30,SubGenre
31,SubGenre
32,SubGenre
33,SubGenre
34,SubGenre
35,SubGenre
36,SubGenre
37,SubGenre
38,SubGenre
39,SubGenre
40,SubGenre
41,SubGenre
42,SubGenre
43,SubGenre
44,SubGenre
45,SubGenre
46,SubGenre
47,SubGenre
48,SubGenre
49,SubGenre
50,SubGenre
51,SubGenre
52,SubGenre
53,SubGenre
54,SubGenre
55,SubGenre
56,SubGenre
57,SubGenre
58,SubGenre
59,SubGenre
60,SubGenre
61,SubGenre
62,SubGenre
63,SubGenre
64,SubGenre
65,SubGenre
66,SubGenre
67,SubGenre
68,SubGenre
69,SubGenre
70,SubGenre
71,SubGenre
72,SubGenre
73,SubGenre
74,SubGenre
75,SubGenre
76,SubGenre
77,SubGenre
78,SubGenre
79,SubGenre
80,SubGenre
81,SubGenre
82,SubGenre
83,SubGenre
84,SubGenre
85,SubGenre
86,SubGenre
87,SubGenre
88,SubGenre
89,SubGenre
90,SubGenre
91,SubGenre
92,SubGenre
93,SubGenre
94,SubGenre
95,SubGenre
96,SubGenre
97,SubGenre
98,SubGenre
99,SubGenre
100,SubGenre
101,SubGenre
102,SubGenre
103,SubGenre
104,SubGenre
105,SubGenre
106,SubGenre
107,SubGenre
108,SubGenre
109,SubGenre
110,SubGenre
111,SubGenre
112,SubGenre
113,SubGenre
114,SubGenre
115,SubGenre
116,SubGenre
117,SubGenre
118,SubGenre
119,SubGenre
120,SubGenre
121,SubGenre
122,SubGenre
123,SubGenre
124,SubGenre
125,SubGenre
126,SubGenre
127,SubGenre
128,SubGenre
129,SubGenre
130,SubGenre
131,SubGenre
132,SubGenre
133,SubGenre
134,SubGenre
135,SubGenre
136,SubGenre
137,SubGenre
138,SubGenre
139,SubGenre
140,SubGenre
141,SubGenre
142,SubGenre
143,SubGenre
144,SubGenre
145,SubGenre
146,SubGenre
147,SubGenre
148,SubGenre
149,SubGenre
150,SubGenre
151,SubGenre
152,SubGenre
153,SubGenre
154,SubGenre
155,SubGenre
156,SubGenre
157,SubGenre
158,SubGenre
159,SubGenre
160,SubGenre
161,SubGenre
162,SubGenre
163,SubGenre
164,SubGenre
165,SubGenre
167,Topic
168,Topic
169,Topic
170,Topic
171,Topic
172,Topic
173,Topic
174,Topic
175,Topic
176,Topic
177,Topic
178,Topic
179,Topic
180,Topic
181,Topic
182,Topic
183,Topic
184,Topic
185,Topic
186,Topic
187,Topic
188,Topic
189,Topic
190,Topic
191,Topic
192,Topic
193,Topic
194,Topic
195,Topic
196,Topic
197,Topic
198,Topic
199,Topic
200,Topic
201,Topic
202,Topic
203,Topic
204,Topic
205,Topic
206,Topic
207,Topic
208,Topic
209,Topic
210,Topic
211,Topic
212,Topic
213,Topic
214,Topic
215,Topic
216,Topic
217,Topic
218,Topic
219,Topic
220,Topic
221,Topic
222,Topic
223,Topic
224,Topic
225,Topic
226,Topic
227,Topic
228,Topic
229,Topic
230,Topic
231,Topic
232,Topic
233,Topic
234,Topic
235,Topic
236,Topic
237,Topic
238,Topic
239,Topic
240,Topic
241,Topic
242,Topic
243,Topic
244,Topic
245,Topic
246,Topic
247,Topic
248,Topic
249,Topic
250,Topic
251,Topic
252,Topic
253,Topic
254,Topic
255,Topic
256,Topic
257,Topic
258,Topic
259,Topic
260,Topic
261,Topic
262,Topic
263,Topic
264,Topic
265,Topic
266,Topic
267,Topic
268,Topic
269,Topic
270,Topic
271,Topic
272,Topic
273,Topic
274,Topic
275,Topic
276,Topic
277,Topic
278,Topic
279,Topic
280,Topic
281,Topic
282,Topic
283,Topic
284,Topic
285,Topic
286,Topic
287,Topic
288,Topic
289,Topic
290,Topic
291,Topic
292,Topic
293,Topic
294,Topic
295,Topic
296,Topic
297,Topic
298,Topic
299,Topic
300,Topic
301,Topic
302,Topic
303,Topic
304,Topic
305,Topic
306,Topic
307,Topic
308,Topic
309,Topic
310,Topic
311,Topic
312,Topic
313,Topic
314,Topic
315,Topic
316,Topic
317,Topic
318,Topic
319,Topic
320,Topic
321,Topic
322,Topic
323,Topic
324,Topic
325,Topic
326,Topic
327,Topic
328,Topic
329,Topic
330,Topic
331,Topic
332,Topic
333,Topic
334,Topic
335,Topic
336,Topic
337,Topic
338,Topic
339,Topic
340,Topic
341,Topic
342,Topic
343,Topic
344,Topic
345,Topic
346,Topic
347,Topic
348,Topic
349,Topic
350,Topic
351,Topic
352,Topic
353,Topic
354,Topic
355,Topic
356,Topic
357,Topic
358,Topic
359,Topic
360,Topic
361,Topic
362,Topic
363,Topic
364,Topic
365,Topic
366,Topic
367,Topic
368,Topic
369,Topic
370,Topic
371,Topic
372,Topic
373,Topic
374,Topic
375,Topic
376,Topic
377,Topic
378,Topic
379,Topic
380,Topic
381,Topic
382,Topic
383,Topic
384,Topic
385,Topic
386,Topic
387,Topic
388,Topic
389,Topic
390,Topic
391,Topic
392,Topic
393,Topic
394,Topic
395,Topic
396,Topic
397,Topic
398,Topic
399,Topic
400,Topic
401,Topic
402,Topic
403,Topic
404,Topic
405,Topic
406,Topic
407,Topic
408,Topic
409,Topic
410,Topic
411,Topic
412,Topic
413,Topic
414,Topic
415,Topic
417,City
418,City
419,City
420,City
421,City
422,City
423,City
424,City
425,City
426,City
427,City
428,City
429,City
430,City
431,City
432,City
433,City
434,City
435,City
436,City
437,City
438,City
439,City
440,City
441,City
442,City
443,City
444,City
445,City
446,City
447,City
448,City
449,City
450,City
451,City
452,City
453,City
454,City
455,City
456,City
457,City
458,City
459,City
460,City
461,City
462,City
463,City
464,City
465,City
466,City
467,City
468,City
469,City
470,City
471,City
472,City
473,City
474,City
475,City
476,City
477,City
478,City
479,City
480,City
481,City
482,City
483,City
484,City
485,City
486,City
487,City
488,City
489,City
490,City
491,City
492,City
493,City
494,City
495,City
496,City
497,City
498,City
499,City
500,City
501,City
502,City
503,City
504,City
505,City
506,City
507,City
508,City
509,City
510,City
511,City
512,City
513,City
514,City
515,City
516,City
517,City
518,City
519,City
520,City
521,City
522,City
523,City
524,City
525,City
526,City
527,City
528,City
529,City
530,City
531,City
532,City
533,City
534,City
535,City
536,City
537,City
538,City
539,City
540,City
541,City
542,City
543,City
544,City
545,City
546,City
547,City
548,City
549,City
550,City
551,City
552,City
553,City
554,City
555,City
556,City
557,City
558,City
559,City
560,City
561,City
562,City
563,City
564,City
565,City
566,City
567,City
568,City
569,City
570,City
571,City
572,City
573,City
574,City
575,City
576,City
577,City
578,City
579,City
580,City
581,City
582,City
583,City
584,City
585,City
586,City
587,City
588,City
589,City
590,City
591,City
592,City
593,City
594,City
595,City
596,City
597,City
598,City
599,City
600,City
601,City
602,City
603,City
604,City
605,City
606,City
607,City
608,City
609,City
610,City
611,City
612,City
613,City
614,City
615,City
616,City
617,City
618,City
619,City
620,City
621,City
622,City
623,City
624,City
625,City
626,City
627,City
628,City
629,City
630,City
631,City
632,City
633,City
634,City
635,City
636,City
637,City
638,City
639,City
640,City
641,City
642,City
643,City
644,City
645,City
646,City
647,City
648,City
649,City
650,City
651,City
652,City
653,City
654,City
655,City
657,Country
658,Country
659,Country
660,Country
661,Country
662,Country
663,Country
664,Country
665,Country
666,Country
667,Country
668,Country
669,Country
670,Country
671,Country
672,Country
673,Country
674,Country
675,Country
676,Country
677,Country
678,Country
679,Country
680,Country
682,Language
683,Language
684,Language
685,Language
686,Language
687,Language
688,Language
689,Language
690,Language
691,Language
692,Language
693,Language
694,Language
695,Language
696,Language
697,Language
698,Language
699,Language
700,Language
701,Language
702,Language
703,Language
704,Language
705,Language
706,Language
707,Language
708,Language
709,Language
710,Language
711,Language
712,Language
713,Language
714,Language
715,Language
717,Role
718,Role
720,AgeGroup
721,AgeGroup
722,AgeGroup
723,AgeGroup
724,AgeGroup
725,AgeGroup
726,AgeGroup
727,AgeGroup
729,Gender
731,ClassicalMusicConcert
732,ClassicalMusicConcert
733,ClassicalMusicConcert
734,ClassicalMusicConcert
735,ClassicalMusicConcert
736,ClassicalMusicConcert
737,ClassicalMusicConcert
738,ClassicalMusicConcert
739,ClassicalMusicConcert
740,ClassicalMusicConcert
741,ClassicalMusicConcert
742,ClassicalMusicConcert
743,ClassicalMusicConcert
744,ClassicalMusicConcert
745,ClassicalMusicConcert
746,ClassicalMusicConcert
747,ClassicalMusicConcert
748,ClassicalMusicConcert
749,ClassicalMusicConcert
750,ClassicalMusicConcert
751,ClassicalMusicConcert
752,ClassicalMusicConcert
753,ClassicalMusicConcert
754,ClassicalMusicConcert
755,ClassicalMusicConcert
756,ClassicalMusicConcert
757,ClassicalMusicConcert
758,ClassicalMusicConcert
759,ClassicalMusicConcert
760,ClassicalMusicConcert
761,ClassicalMusicConcert
762,ClassicalMusicConcert
763,ClassicalMusicConcert
764,ClassicalMusicConcert
765,ClassicalMusicConcert
766,ClassicalMusicConcert
767,ClassicalMusicConcert
768,ClassicalMusicConcert
769,ClassicalMusicConcert
770,ClassicalMusicConcert
771,ClassicalMusicConcert
772,ClassicalMusicConcert
773,ClassicalMusicConcert
774,ClassicalMusicConcert
775,ClassicalMusicConcert
776,ClassicalMusicConcert
777,ClassicalMusicConcert
778,ClassicalMusicConcert
779,ClassicalMusicConcert
780,ClassicalMusicConcert
781,ClassicalMusicConcert
782,ClassicalMusicConcert
783,ClassicalMusicConcert
784,ClassicalMusicConcert
785,ClassicalMusicConcert
786,ClassicalMusicConcert
787,ClassicalMusicConcert
788,ClassicalMusicConcert
789,ClassicalMusicConcert
790,ClassicalMusicConcert
791,ClassicalMusicConcert
792,ClassicalMusicConcert
793,ClassicalMusicConcert
794,ClassicalMusicConcert
